ch_name,weight,x,y,z,name,sub_name,WMvsGM,LvsR,Anat,Desikan_Killiany,fsaverageINF_coord_1,fsaverageINF_coord_2,fsaverageINF_coord_3,ScannerNativeRAS_coord_1,ScannerNativeRAS_coord_2,ScannerNativeRAS_coord_3,MGRID_coord_1,MGRID_coord_2,MGRID_coord_3,subINF_coord_1,subINF_coord_2,subINF_coord_3
sub-08 RPHC1,-0.20530449997961916,27.54860144,-33.82241131,-9.504072561,RPHC1,sub-08 RPHC1,WM,R,Hippocampus,Right-Hippocampus,-7.426071167,-25.4182682,-38.354702,24.2196579,-4.520507813,-31.76753998,102.0,158.0,154.5,-6.57613039,11.06823635,-45.20267868
sub-06 RmCC14,-0.20492461977829007,13.21749185,-29.35816198,38.81067573,RmCC14,sub-06 RmCC14,GM,R,Posterior Cingulate Cortex,posteriorcingulate,-28.95480728,-12.14644814,37.23464966,16.22416077,-6.895404053,34.89147949,117.4,108.0,164.2,-35.98149872,-31.39372635,40.08839417
sub-06 LaTh5,0.20151421973002934,-24.80078615,1.868223015,17.59011853,LaTh5,sub-06 LaTh5,WM,L,Cerebral WM,Left-Cerebral-White-Matter,-13.33616829,30.2967968,-15.12617874,-17.77583923,26.90459595,26.29147949,151.4,116.6,130.4,-13.69640923,33.62421799,-8.108548164
sub-02 LPHG6,0.2006934307745005,-47.82350411,-34.86652508,-13.43811243,LPHG6,sub-02 LPHG6,GM,L,Fusiform Gyrus,fusiform,-41.22805405,-21.50054932,-31.5024929,-46.68825524,-12.69666616,-80.62557983,173.5,157.0,156.0,-25.67102051,-17.48426819,-62.42288589
sub-02 LPHG4,0.20003330424405658,-37.00218411,-37.73821309,-11.55812643,LPHG4,sub-02 LPHG4,GM,L,Entorhinal Cortex,entorhinal,6.799799919,-14.45050335,-44.8302269,-36.68825524,-15.69666653,-78.62557983,163.5,155.0,159.0,-8.047850609,-24.49763298,-57.95558929
sub-06 RaIN8,0.19700439224066588,26.04160205,20.02489892,23.19540073,RaIN8,sub-06 RaIN8,WM,R,Cerebral WM,Right-Cerebral-White-Matter,23.65239334,55.29868317,9.803704262,29.62416077,40.80459595,31.39147949,104.0,111.5,116.5,4.904133081,51.70063019,53.85172272
sub-05 LAMY5,0.19691514140519717,-42.06331398,-6.350493333,-20.19361166,LAMY5,sub-05 LAMY5,GM,L,Insula,insula,-17.03548813,31.37699318,-42.96032333,-40.703237,12.15274581,-25.89971894,169.0,133.0,125.5,-20.89904404,33.75930405,-18.91623497
sub-06 RaTh6,0.19191493428331394,26.32175285,6.515381415,19.86344113,RaTh6,sub-06 RaTh6,WM,R,Cerebral WM,Right-Cerebral-White-Matter,16.27834797,34.58689117,-13.12177753,29.02416077,29.70459595,25.69147949,104.6,117.2,127.6,18.72642899,32.06293678,-13.78281021
sub-06 RaIN7,0.18410383637837408,27.90395461,18.39731781,17.61817574,RaIN7,sub-06 RaIN7,WM,R,Cerebral WM,Right-Cerebral-White-Matter,15.55933952,44.63719177,-17.58239937,30.95716077,40.80459595,26.22447949,102.667,116.667,116.5,17.73575974,50.16972733,-13.62602425
sub-05 LAMY6,0.1793794781739223,-47.55497371,-5.152135262,-20.32265076,LAMY6,sub-05 LAMY6,GM,L,Superior Temporal Gyrus (STG),superiortemporal,-36.07037354,13.2964344,-48.05025482,-45.7032367,12.98574581,-25.23271898,174.0,132.333,124.667,-23.98377228,35.02548599,-20.15116501
sub-06 LPHG3,-0.17921903715521953,-25.21803245,-53.60543458,-5.423317018,LPHG3,sub-06 LPHG3,GM,L,Lingual Gyrus,lingual,9.745481491,-49.29434967,-39.65322495,-22.12583923,-16.19540405,-4.858520508,155.75,147.75,173.5,8.965306282,-46.69448853,-53.61869049
sub-05 RaTh2,0.17874504500273938,10.4348398,-2.24103108,13.54038483,RaTh2,sub-05 RaTh2,WM,R,Caudate,Right-Caudate,-40.79666138,21.48340225,-6.772744656,9.696759999,4.852746227,-4.299720228,118.6,111.4,132.8,-45.73508072,20.30924416,-0.440463394
sub-06 RaTh7,0.17739782077290547,30.45294085,9.424991415,21.84029313,RaTh7,sub-06 RaTh7,WM,R,Cerebral WM,Right-Cerebral-White-Matter,23.81968498,46.32802963,17.88029861,33.02416077,31.70459595,27.69147949,100.6,115.2,125.6,17.03502655,35.49206161,-14.59643555
sub-02 AINS13,-0.17635186239206088,-37.89036922,-9.276177217,49.1083932,AINS13,sub-02 AINS13,GM,L,Precentral Gyrus,precentral,-10.09643364,16.67238617,50.89696121,-40.81325523,2.053335592,-23.25057983,167.625,99.625,141.25,-13.1754837,5.672154903,46.36049271
sub-06 LaTh6,0.1763497908747638,-28.62539436,3.699223056,19.90526488,LaTh6,sub-06 LaTh6,WM,L,Cerebral WM,Left-Cerebral-White-Matter,-14.10804367,31.21313858,-13.1856308,-21.04283923,27.97159595,28.89147949,154.667,114.0,129.333,-13.69640923,33.62421799,-8.108548164
sub-06 RaIN9,0.1761418747140603,24.1246631,21.25378278,28.24633914,RaIN9,sub-06 RaIN9,WM,R,Cerebral WM,Right-Cerebral-White-Matter,-4.468928814,60.91754913,43.62771225,28.19516077,40.59059595,36.03447949,105.429,106.857,116.714,4.534919262,51.21369171,54.23193741
sub-06 RmCC12,-0.17587127315017087,12.3835563,-18.68578558,36.04138173,RmCC12,sub-06 RmCC12,GM,R,Posterior Cingulate Cortex,posteriorcingulate,-29.71398163,1.982061386,38.0346756,15.87416077,3.304595947,34.89147949,117.75,108.0,154.0,-36.9264183,-18.99404907,32.55520821
sub-06 RmCC15,-0.1756101925075414,14.1408463,-34.36066258,40.15209273,RmCC15,sub-06 RmCC15,GM,R,Paracentral Lobule,paracentral,-28.54589653,-19.31998444,37.715271,16.87416077,-11.69540405,34.89147949,116.75,108.0,169.0,-36.04465485,-37.67884445,39.233284
sub-02 AINS14,-0.17125304134654382,-38.02726184,-9.954806605,54.5115963,AINS14,sub-02 AINS14,GM,L,Precentral Gyrus,precentral,-10.15110302,14.27127934,51.46968079,-41.18825523,0.470335404,-18.79227983,168.0,95.1667,142.833,-11.77762222,2.377325535,47.90707397
sub-06 LmCC4,0.1712035001094906,-6.529559144,20.54698277,17.83569585,LmCC4,sub-06 LmCC4,GM,L,Caudal Anterior Cingulate Cortex,caudalanteriorcingulate,40.37712097,49.09503937,-0.678224325,-0.208839233,43.13759595,29.22447949,133.833,113.667,114.167,48.04918671,52.83656311,12.42599678
sub-06 LaIN5,0.16930144945169184,-35.1573472,14.66617742,13.18058086,LaIN5,sub-06 LaIN5,GM,L,Inferior Frontal Gyrus (IFG),parsopercularis,-14.21341133,42.90296173,-14.8782444,-26.75083923,39.55459595,26.01647949,160.375,116.875,117.75,-13.42580223,47.91043091,-4.628512383
sub-08 LaTh8,0.1687400080196917,-29.16875056,8.126247189,6.902414439,LaTh8,sub-08 LaTh8,WM,L,Cerebral WM,Left-Cerebral-White-Matter,-11.51048946,39.35190582,-23.6770649,-26.2803421,26.97949219,3.232460022,152.5,123.0,123.0,-12.54441833,46.95866776,6.009316444
sub-05 LaTh12,0.1682673903095609,-51.324963,36.63643576,11.57617706,LaTh12,sub-05 LaTh12,GM,L,Inferior Frontal Gyrus (IFG),parstriangularis,-21.93696022,69.97627258,-11.30385685,-45.20323673,33.65274635,11.10027885,173.5,96.0,104.0,-13.35156536,64.5998764,25.44234467
sub-06 RmCC11,-0.16784573384672521,11.88896005,-13.45742758,34.67770773,RmCC11,sub-06 RmCC11,GM,R,Posterior Cingulate Cortex,posteriorcingulate,-30.4651165,7.247110844,36.17944717,15.62416077,8.304595947,34.89147949,118.0,108.0,149.0,-36.86170578,-9.916365623,33.79756927
sub-06 LPHG10,-0.16752175353901871,-63.54718475,-56.85879718,-2.550950068,LPHG10,sub-06 LPHG10,GM,L,Middle Temporal Gyrus (MTG),middletemporal,-34.14868546,-50.24507141,-26.76627922,-56.97583923,-19.29540405,-0.508520508,190.6,143.4,176.6,-41.26672745,-50.87332535,-32.6763649
sub-07 RAMY4,-0.16675506906942902,29.22290048,-12.94715367,-19.91596972,RAMY4,sub-07 RAMY4,WM,R,Hippocampus,Right-Hippocampus,0.759579748,6.377664566,-57.90687943,21.87750244,9.110198975,6.382598877,100.25,150.0,134.0,-2.629667044,15.12521267,-55.57832336
sub-06 RaIN6,0.1667071164848315,29.47849776,16.81751726,12.48675312,RaIN6,sub-06 RaIN6,WM,R,Cerebral WM,Right-Cerebral-White-Matter,15.00078773,44.63360596,-18.97859955,32.05316077,40.73359595,21.46247949,101.571,121.429,116.571,17.73575974,50.16972733,-13.62602425
sub-02 LRCS11,-0.16486899748082204,-55.17971565,-47.93944093,37.47711245,LRCS11,sub-02 LRCS11,GM,L,Supramarginal Gyrus,supramarginal,-34.778965,-40.95402527,25.61332512,-55.75925525,-34.26766872,-40.05457983,182.571,116.429,177.571,-40.69812012,-50.25601959,8.121831894
sub-03 LHIP1,-0.1610068197334672,-21.30484182,-7.364462164,-25.49205638,LHIP1,sub-03 LHIP1,WM,L,Hippocampus,Left-Hippocampus,1.08260037,12.26408672,-62.06656647,-21.01732495,37.17048663,-3.497490197,151.5,125.75,128.5,2.317299724,23.72627449,-63.44633484
sub-06 LaTh4,0.16063222546210787,-20.02957254,-0.400103226,14.51196758,LaTh4,sub-06 LaTh4,WM,L,Cerebral WM,Left-Cerebral-White-Matter,-14.27308559,27.39964485,-12.70223618,-13.70883923,25.63759595,22.89147949,147.333,120.0,131.667,-13.69640923,33.62421799,-8.108548164
sub-02 AINS15,-0.15929037234243038,-38.0649691,-10.94929509,59.31970882,AINS15,sub-02 AINS15,GM,L,Precentral Gyrus,precentral,-7.049571991,8.979533195,55.12399292,-41.43825523,-1.32166481,-14.87557983,168.25,91.25,144.625,-9.917309761,-0.714604974,49.70370102
sub-05 LAMY3,0.1590059256507602,-31.54223198,-9.470535846,-20.59047515,LAMY3,sub-05 LAMY3,WM,L,Inf-Lat-Vent,Left-Inf-Lat-Vent,5.463112354,20.58016586,-56.44927979,-31.20323756,10.1527458,-27.89971882,159.5,135.0,127.5,4.929869652,30.9739418,-33.51340866
sub-08 RpTh13,-0.15842222325157315,53.95833415,-39.6445493,22.09197533,RpTh13,sub-08 RpTh13,GM,R,Supramarginal Gyrus,supramarginal,38.04801559,-18.74852562,4.687261343,48.5529579,-24.02050781,-8.100539978,77.6667,134.333,174.0,36.62786865,-39.49419403,-5.505232334
sub-06 LHIP1,-0.15685626429211288,-30.55207612,-27.76030385,-9.923971104,LHIP1,sub-06 LHIP1,WM,L,Hippocampus,Left-Hippocampus,11.87121964,-5.901721001,-43.56100082,-25.87583923,7.971595947,-2.775520508,159.5,145.667,149.333,7.415726662,13.34406948,-49.66165924
sub-08 LAMY6,0.15593809663685954,-46.38253306,-4.563235311,-25.05785306,LAMY6,sub-08 LAMY6,WM,L,Cerebral WM,Left-Cerebral-White-Matter,-34.05264664,16.41261482,-50.69970322,-42.7803421,29.97949219,-29.76753998,169.0,156.0,120.0,-40.20328903,46.34498978,-37.73348999
sub-06 LaTh3,0.15413818880293054,-15.65006875,-2.974975185,12.19259813,LaTh3,sub-06 LaTh3,WM,L,Cerebral WM,Left-Cerebral-White-Matter,41.83628082,18.80859375,-10.70666504,-9.975839233,23.90459595,20.09147949,143.6,122.8,133.4,49.38952637,22.56973648,-4.310369492
sub-02 LPHG5,0.15358905197878053,-42.40962111,-35.80911409,-12.58359743,LPHG5,sub-02 LPHG5,GM,L,Entorhinal Cortex,entorhinal,6.799799919,-14.45050335,-44.8302269,-41.68825524,-13.69666628,-79.62557983,168.5,156.0,157.0,-17.05998039,-21.52727699,-60.76477814
sub-08 LAMY4,0.15287315213788502,-38.78191606,-3.895578311,-24.11209406,LAMY4,sub-08 LAMY4,WM,L,Cerebral WM,Left-Cerebral-White-Matter,-14.0196209,35.2887001,-45.71525574,-35.7803421,29.97949219,-28.76753998,162.0,155.0,120.0,5.71415472,43.31564331,-41.21107483
sub-02 AINS7,0.15283421376750753,-38.16769171,-2.359252218,15.41009695,AINS7,sub-02 AINS7,WM,L,Cerebral WM,Left-Cerebral-White-Matter,-16.4651947,24.19116592,-11.8446579,-39.56325522,14.55333708,-50.75057983,166.375,127.125,128.75,-23.87075233,31.78470612,-24.05445862
sub-08 LAMY5,0.15201933984466698,-42.02479306,-4.438383311,-25.04400906,LAMY5,sub-08 LAMY5,WM,L,Cerebral WM,Left-Cerebral-White-Matter,-16.92933273,31.96672821,-44.70096207,-38.7803421,29.97949219,-29.76753998,165.0,156.0,120.0,-16.79664612,47.87733078,-19.39967918
sub-05 LAMY7,0.15004807772628767,-52.67064662,-3.579686538,-21.06221192,LAMY7,sub-05 LAMY7,WM,L,Cerebral WM,Left-Cerebral-White-Matter,-36.07037354,13.2964344,-48.05025482,-50.37023642,14.31974581,-24.899719,178.667,132.0,123.333,-42.96993256,35.41757584,-36.43721771
sub-05 LpIN6,0.14995922139826368,-37.88514939,-14.85843936,-1.68832684,LpIN6,sub-05 LpIN6,GM,L,Insula,insula,-17.22644997,19.57330704,-22.79068184,-36.30323726,-0.547254032,-15.89971954,164.6,123.0,138.2,-18.13851929,16.44843864,-9.206187248
sub-07 RAMY1,-0.1495858270004696,13.28825172,-10.43724323,-23.14032307,RAMY1,sub-07 RAMY1,WM,R,Hippocampus,Right-Hippocampus,2.541750908,3.949592113,-60.19273376,7.460502441,11.61019897,3.049598877,114.667,153.333,131.5,-1.675077915,14.13555908,-58.94963837
sub-06 RaTh5,0.14763002628067573,21.9927878,4.473931665,17.59131273,RaTh5,sub-06 RaTh5,WM,R,Cerebral WM,Right-Cerebral-White-Matter,15.2288065,31.78699303,-14.53202343,24.87416077,28.55459595,23.64147949,108.75,119.25,128.75,18.72642899,32.06293678,-13.78281021
sub-06 LsCC5,0.1458661890803981,-26.55761181,30.57324009,1.386555944,LsCC5,sub-06 LsCC5,GM,L,Lateral Orbitofrontal Cortex,lateralorbitofrontal,-10.91767979,61.86881256,-27.79881859,-18.70883923,56.63789595,18.89147949,152.333,124.0,100.6667,-6.306407452,66.30587006,-11.1363554
sub-02 LOFC10,0.1446494068155754,-54.09190024,33.45272281,-1.380047452,LOFC10,sub-02 LOFC10,GM,L,Inferior Frontal Gyrus (IFG),parstriangularis,-19.53965569,73.77191162,-19.08743477,-54.06285519,52.42834161,-60.93767983,180.8746,137.3121,90.875,-26.91292572,90.56001282,-20.18435097
sub-08 LAMY11,0.1445850179258768,-65.96703995,-5.429878479,-26.51423237,LAMY11,sub-08 LAMY11,GM,L,Middle Temporal Gyrus (MTG),middletemporal,-33.97001648,12.58112526,-58.42747116,-60.7803421,30.31249219,-31.10053998,187.0,157.333,119.667,-40.55761719,39.59682465,-48.48999405
sub-08 LPHC2,-0.14439620678984394,-21.53938606,-34.32083331,-6.646454061,LPHC2,sub-08 LPHC2,WM,L,Hippocampus,Left-Hippocampus,11.70292187,-28.27669907,-36.57529831,-20.7803421,-5.020507813,-28.76753998,147.0,155.0,155.0,16.39259624,-3.334787369,-42.33637619
sub-06 RaIN10,0.1442191531988385,22.42357219,22.25535358,33.42824884,RaIN10,sub-06 RaIN10,WM,R,Cerebral WM,Right-Cerebral-White-Matter,-30.86740685,59.6943512,24.15543938,26.95716077,40.13759595,40.72447949,106.667,102.167,117.167,4.534919262,51.21369171,54.23193741
sub-02 AINS2,0.14382201979305356,-39.38020183,2.50058992,-11.5327631,AINS2,sub-02 AINS2,GM,L,Insula,insula,-11.05148411,40.14505005,-43.72861862,-39.47425521,23.87433819,-72.91157983,166.286,149.286,119.429,-7.596683502,30.68708992,-39.56267929
sub-02 LpFG4,-0.14361429080990004,-35.20948814,-68.9685676,-3.961507176,LpFG4,sub-02 LpFG4,GM,L,Fusiform Gyrus,fusiform,-20.00315857,-73.45906067,-39.42676926,-34.93825526,-47.69667034,-76.62557983,161.75,153.0,191.0,-9.271830559,-80.4148407,-61.65176773
sub-06 RaIN2,0.1428953768432924,35.69208845,12.04726922,-8.346383068,RaIN2,sub-06 RaIN2,GM,R,Insula,insula,9.97117424,50.22677994,-41.94849014,36.42416077,41.90459595,2.491479492,97.2,140.4,115.4,4.236541748,51.93749237,-24.87882233
sub-03 LSR2,-0.14287544511012734,-46.51632162,-43.63217181,5.903952422,LSR2,sub-03 LSR2,GM,L,Banks of Superior Temporal Sulcus (STS),bankssts,-36.96327972,-37.81080246,-13.91014004,-44.51732355,-2.529508638,19.85250702,175.0,102.4,168.2,-42.51961517,-42.75485611,-16.51690483
sub-07 LHip9,0.142506973079012,-63.82958064,-49.70286639,-18.72673863,LHip9,sub-07 LHip9,GM,L,Inferior Temporal Gyrus (ITG),inferiortemporal,-34.33845901,-38.92309952,-44.79104233,-61.01549756,-28.31880103,-2.188401123,183.143,158.571,171.429,-35.18113327,-34.33081436,-58.33493423
sub-06 LaTh2,0.14170370574256705,-11.65638915,-5.358980385,10.03119513,LaTh2,sub-06 LaTh2,WM,L,Thalamus,Left-Thalamus-Proper,41.07974243,14.23142433,-12.4048624,-6.575839233,22.30459595,17.49147949,140.2,125.4,135.0,49.14215851,19.32020378,-8.890547752
sub-06 RsCC8,0.14168216978970713,29.43674208,36.55795277,17.90006062,RsCC8,sub-06 RsCC8,GM,R,Rostral Middle Frontal Gyrus,rostralmiddlefrontal,4.281319857,86.93009186,14.02532101,33.29086077,56.80459595,30.22447949,100.3333,112.667,100.5,10.56105518,79.276474,38.66629791
sub-06 LAMY6,0.1405459327521223,-44.06353745,-12.54796558,-20.02435227,LAMY6,sub-06 LAMY6,WM,L,Cerebral WM,Left-Cerebral-White-Matter,6.086770058,13.43754864,-54.75057602,-37.87583923,24.30459595,-7.108520508,171.5,150.0,133.0,7.1577878,22.03092575,-49.92721939
sub-06 RaTh2,0.1393755292368861,8.792888875,-3.984334854,11.0310219,RaTh2,sub-06 RaTh2,WM,R,Thalamus,Right-Thalamus-Proper,-38.43889236,16.83486462,-13.31393814,12.12416077,22.97159595,17.22447949,121.5,125.667,134.333,-46.51153564,18.27297783,-5.866195679
sub-05 LAMY8,0.13841102012305573,-58.21812067,-2.418315434,-20.97312904,LAMY8,sub-05 LAMY8,GM,L,Superior Temporal Gyrus (STG),superiortemporal,-36.7550621,11.14713669,-53.87538147,-55.41173612,15.04874581,-24.08721905,183.7085,131.1875,122.604,-42.34399033,36.75836563,-27.65947723
sub-06 LaTh7,0.13827487214590675,-33.13435995,6.439890915,22.40982123,LaTh7,sub-06 LaTh7,WM,L,Cerebral WM,Left-Cerebral-White-Matter,-23.97901154,44.15168762,15.2401619,-24.87583923,29.80459595,31.89147949,158.5,111.0,127.5,-21.62247658,38.53384399,34.13645554
sub-05 LaTh3,0.13757320314496493,-13.43017054,-0.335450293,10.01358173,LaTh3,sub-05 LaTh3,WM,L,Cerebral WM,Left-Cerebral-White-Matter,41.32792282,26.29164314,-11.67712021,-12.36973869,6.985746182,-4.566220212,140.6665,111.6665,130.667,47.3629837,25.71650505,4.876446247
sub-03 LANT4,0.13716277535247795,-18.78151642,-6.669513814,2.923141622,LANT4,sub-03 LANT4,WM,L,Cerebral WM,Left-Cerebral-White-Matter,12.6449604,24.68865013,-51.11894608,-16.9173252,34.27048697,21.45250683,147.4,100.8,131.4,17.1424942,24.39642715,-49.83902359
sub-07 RAMY5,-0.13530581456536953,34.35940978,-13.76408407,-18.95910097,RAMY5,sub-07 RAMY5,WM,R,Hippocampus,Right-Hippocampus,-5.280972958,16.67054939,-52.7779808,26.52750244,8.310198975,7.382598877,95.6,149.0,134.8,-7.312034607,15.275033,-48.05979919
sub-05 LpIN5,0.13384869632911503,-39.11871051,-12.42327574,-4.031952987,LpIN5,sub-05 LpIN5,GM,L,Insula,insula,-16.18094254,25.5459919,-27.05958939,-37.43653719,2.075045955,-16.67741949,165.7333,123.7777,135.5777,-18.13851929,16.44843864,-9.206187248
sub-06 LaIN6,0.133794885054366,-33.55832194,16.72803403,18.45077288,LaIN6,sub-06 LaIN6,WM,L,Cerebral WM,Left-Cerebral-White-Matter,-15.09288216,45.68519211,-14.49411964,-24.93183923,39.97159595,30.78047949,158.556,112.111,117.333,-19.9393692,55.19541931,28.26250648
sub-07 RAMY3,-0.13345602363790388,23.94384148,-12.52676167,-21.36735297,RAMY3,sub-07 RAMY3,WM,R,Hippocampus,Right-Hippocampus,1.388289005,4.108659983,-58.25803757,17.12750244,9.610198975,4.882598877,105.0,151.5,133.5,-2.293804169,12.20733929,-56.82502747
sub-06 LRMD6,0.13326834956772451,-21.87784669,-13.11147175,0.940343385,LRMD6,sub-06 LRMD6,WM,L,Cerebral WM,Left-Cerebral-White-Matter,13.08637142,17.07634163,-49.68379211,-16.70883923,17.97159595,8.891479492,150.333,134.0,139.333,17.49240875,15.76973248,-47.70652008
sub-08 LAMY10,0.13294190730810332,-61.62206656,-5.008048311,-26.27660656,LAMY10,sub-08 LAMY10,GM,L,Middle Temporal Gyrus (MTG),middletemporal,-33.90784073,13.18206787,-58.16407394,-56.7803421,30.47949219,-30.76753998,183.0,157.0,119.5,-40.52865982,40.14583588,-48.19470978
sub-06 RAMY6,0.1328375474503954,40.9192773,-13.30065283,-18.55928527,RAMY6,sub-06 RAMY6,WM,R,Cerebral WM,Right-Cerebral-White-Matter,-3.151834011,13.05190754,-54.14667511,39.37416077,22.05459595,-11.85852051,94.25,154.75,135.25,-9.701381683,14.59580326,-50.55259323
sub-07 LPCu7,-0.13279560709637572,-17.0768174,-51.64999342,53.38336003,LPCu7,sub-07 LPCu7,WM,L,Cerebral WM,Left-Cerebral-White-Matter,16.37020206,-48.46043777,66.48105621,-20.74749756,-40.63980103,64.00759888,142.875,92.375,183.75,7.879560471,-79.00415039,44.79269409
sub-03 LIC2,-0.13234794301745975,-47.90844437,-36.34490172,-5.594162539,LIC2,sub-03 LIC2,GM,L,Middle Temporal Gyrus (MTG),middletemporal,-40.03391647,-23.07952881,-28.71214294,-46.18432345,6.170490324,10.91950808,176.667,111.333,159.5,-46.79036331,-19.59202766,-36.60153198
sub-07 LHip7,0.13174052209496584,-54.14066479,-47.36356751,-14.97018205,LHip7,sub-07 LHip7,GM,L,Middle Temporal Gyrus (MTG),middletemporal,-35.93000031,-38.8711853,-41.90425873,-52.44349756,-26.46080103,1.953598877,174.571,154.429,169.571,-39.45875549,-37.51539993,-50.80913544
sub-05 LHip1,-0.1311816955102104,-16.64064198,-34.93020484,-8.847920159,LHip1,sub-05 LHip1,WM,L,Hippocampus,Left-Hippocampus,12.2397356,-32.6728096,-35.76879883,-18.20323834,-12.84725419,-28.89971876,146.5,136.0,150.5,8.61679554,-9.840218544,-40.6107254
sub-08 RAMY10,0.13003559485329216,50.74403894,-6.872377311,-23.64444706,RAMY10,sub-08 RAMY10,WM,R,Cerebral WM,Right-Cerebral-White-Matter,37.90283966,15.15949535,-50.19086838,46.2196579,24.97949219,-31.26753998,80.0,157.5,125.0,43.74356079,37.96347427,-31.68790817
sub-08 RPHC2,-0.12983165005415037,30.86172044,-34.94831681,-9.687303561,RPHC2,sub-08 RPHC2,WM,R,Cerebral WM,Right-Cerebral-White-Matter,-7.219384193,-23.0559864,-38.91648865,27.2196579,-5.520507813,-32.51753998,99.0,158.75,155.5,-6.295255661,11.55706787,-45.34527588
